"","title","authors","average_rating","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher","publication_year","page_range"
"1386","The BFG: A Set of Plays","Roald Dahl/David Wood",4.26,"9780142407929","eng",128,518,48,2007-02-01,"Puffin Books",2007,"51-150"
"1387","Chicken Trek","Stephen Manes",4.39,"9780553157161","eng",128,96,8,1989-07-01,"Bantam Skylark",1989,"51-150"
"1388","Fantastic Beasts and Where to Find Them (Hogwarts Library)","Newt Scamander/J.K. Rowling",3.99,"9780439321600","eng",128,259399,5513,2001-06-01,"Arthur A. Levine Books",2001,"51-150"
"1389","Betsy-Tacy and Tib (Betsy-Tacy  #2)","Maud Hart Lovelace/Lois Lenski",4.17,"9780060244163","eng",128,83,16,1994-11-09,"HarperCollins",1994,"51-150"
"1390","The Little Book of Coaching: Motivating People to Be Winners","Kenneth H. Blanchard/Don Shula",3.65,"9780066621036","en-US",128,73,12,2001-01-23,"Harper Business",2001,"51-150"
"1391","The Servant Leader","Kenneth H. Blanchard",4.09,"0023755004321","eng",128,276,26,2003-03-11,"Thomas Nelson",2003,"51-150"
"1392","David Boring","Daniel Clowes",3.81,"9781594971228","spa",128,71,2,2005-05-25,"Public Square Books",2005,"51-150"
"1393","Fell","Warren Ellis/Ben Templesmith",4.16,"9781582406930","eng",128,6740,283,2007-06-05,"Image Comics",2007,"51-150"
"1394","Historia de una Gaviota y del Gato Que le Enseñó a Volar","Luis Sepúlveda/Chris Sheban",4.14,"9780439560269","spa",128,9,1,2003-09-01,"Arthur A. Levine Books",2003,"51-150"
"1395","A Universal History of Iniquity","Jorge Luis Borges/Andrew Hurley",3.97,"9780142437896","eng",128,3101,129,2004-07-27,"Penguin Classics",2004,"51-150"
"1396","Witch Baby (Weetzie Bat  #2)","Francesca Lia Block",4.18,"9780064470650","eng",128,3576,110,1992-01-01,"HarperTeen",1992,"51-150"
"1397","Weetzie Bat (Weetzie Bat  #1)","Francesca Lia Block",3.74,"9780060736255","eng",128,13013,1025,2004-07-06,"HarperTeen",2004,"51-150"
"1398","Code of the Samurai: A Modern Translation of the Bushido Shoshinshu of Taira Shigesuke","Daidōji Yūzan/Oscar Ratti/Thomas Cleary",4.04,"9780804831901","eng",128,2274,87,1999-09-15,"Tuttle Publishing",1999,"51-150"
"1399","Landscape Within: Insights and Inspirations for Photographers","David   Ward/Joe Cornish",4.36,"9781902538341","eng",128,22,3,2004-11-01,"Aurum Press",2004,"51-150"
"1400","Zen in Your Garden","Jenny Hendy",3.6,"9781841811109","eng",128,7,2,2003-01-04,"Godsfield Press Ltd",2003,"51-150"
"1401","Doisneau","Peter Hamilton/Robert Doisneau/David    Elliott",4.36,"9781900826242","eng",128,4,0,2000-07-01,"Cartago",2000,"51-150"
"1402","Cliffs Notes on Shakespeare's Hamlet","Carla Lynn Stockton",3.69,"9780764586033","en-US",129,65,6,2000-05-30,"Cliffs Notes",2000,"51-150"
"1403","Sylvia","Leonard Michaels/Diane Johnson",3.86,"9780374271077","eng",129,807,95,2007-05-29,"Farrar  Straus and Giroux",2007,"51-150"
"1404","Siddhartha","Hermann Hesse/Susan Bernofsky/Tom Robbins",4.02,"9780679643364","eng",129,888,60,2006-07-18,"Modern Library",2006,"51-150"
"1405","On Crimes and Punishments","Cesare Beccaria/David Young",3.92,"9780915144990","eng",129,1,0,1986-11-01,"Hackett Publishing Company  Inc.",1986,"51-150"
"1406","Another Day in Paradise: The Fourth Sherman's Lagoon Collection","Jim Toomey",4.35,"9780740720123","eng",130,68,1,2001-09-06,"Andrews McMeel Publishing",2001,"51-150"
"1407","Shopgirl","Steve Martin",3.43,"9780786891078","eng",130,30067,2166,2000-01-01,"Hachette Books",2000,"51-150"
"1408","Relativity: The Special and the General Theory","Albert Einstein/Nigel Calder/Robert W. Lawson",4.18,"9780143039822","eng",130,14068,344,2006-07-25,"Penguin Classics",2006,"51-150"
