"","title","authors","average_rating","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher","publication_year","page_range"
"4392","La Dame aux Camélias","Alexandre Dumas fils/David Coward",3.99,"9780192836380","eng",256,15211,411,2000-03-30,"Oxford University Press",2000,"251-350"
"4393","A Portrait of the Artist as a Young Man","James Joyce/Langdon Hammer",3.61,"9780451530158","eng",256,419,46,2006-06-06,"Signet Classics",2006,"251-350"
"4394","The Good Soldier","Ford Madox Ford/Frank Kermode",3.72,"9781593082680","eng",256,264,35,2005-03-28,"Barnes  Noble Classics",2005,"251-350"
"4395","Days Between Stations","Steve Erickson",4,"9780743265690","eng",256,709,49,2005-02-09,"Simon & Schuster",2005,"251-350"
"4396","The Luzhin Defense","Vladimir Nabokov/Michael Scammell",3.95,"9780679727224","eng",256,7305,277,1990-08-11,"Vintage",1990,"251-350"
"4397","Laura Ingalls Wilder: A Biography","William   Anderson",4.2,"9780060885526","eng",256,4144,98,2007-01-02,"HarperCollins",2007,"251-350"
"4398","The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Stories","Barbara M. Walker/Garth Williams",4.15,"9780064460903","eng",256,3375,91,1989-09-07,"HarperCollins",1989,"251-350"
"4399","El Reino Animal","Sergio Ramírez",3.69,"9789707705739","spa",256,16,4,2006-07-01,"Alfaguara",2006,"251-350"
"4400","Muhammad: A Prophet for Our Time","Karen Armstrong",4.08,"9780060598976","eng",256,1896,202,2006-10-17,"Eminent Lives",2006,"251-350"
"4401","Forfeit","Dick Francis",3.94,"9780425201916","eng",256,2538,63,2005-04-05,"G.P. Putnam's Sons",2005,"251-350"
"4402","The Hound of the Baskervilles","Arthur Conan Doyle/Anne Perry/Sidney Paget",4.11,"9780451528018","eng",256,191128,4802,2001-07-01,"Signet",2001,"251-350"
"4403","The Long Walk: The True Story of a Trek to Freedom","Sławomir Rawicz",4.21,"9781592289448","eng",256,11841,1766,2006-04-01,"Lyons Press",2006,"251-350"
"4404","Experiencing Father's Embrace","Jack Frost",4.33,"9780768423488","eng",256,545,44,2006-04-01,"Destiny Image Incorporated",2006,"251-350"
"4405","Death in Kashmir","M.M. Kaye",3.95,"9780312263102","eng",256,1511,104,2000-12-01,"St. Martins Press-3PL",2000,"251-350"
"4406","Doctor Who: Cat's Cradle-Witch Mark","Andrew    Hunt",3.22,"9780426203681","eng",256,399,25,1992-06-18,"Virgin Publishing",1992,"251-350"
"4407","Too Far to Go: The Maples Stories","John Updike",4.02,"9780449200162","eng",256,361,35,1982-06-12,"Fawcett Books",1982,"251-350"
"4408","How to Travel with a Salmon and Other Essays","Umberto Eco/William Weaver",3.85,"9780156001250","eng",256,218,26,1995-09-15,"Mariner Books",1995,"251-350"
"4409","Charlotte's Web","E.B. White/Garth Williams",4.17,"9780140364491","eng",256,223,22,1993-10-28,"Penguin Books  Limited (UK)",1993,"251-350"
"4410","Ariel: The Restored Edition","Sylvia Plath/Frieda Hughes",4.27,"9780060732608","eng",256,3737,283,2018-03-06,"Harper Perennial Modern Classics",2018,"251-350"
"4411","Mr. Ives' Christmas","Oscar Hijuelos",3.76,"9780060927547","eng",256,949,128,2003-12-23,"Harper Perennial",2003,"251-350"
"4412","Philosophical Investigations","Ludwig Wittgenstein/G.E.M. Anscombe",4.23,"9780024288103","eng",256,224,35,1973-03-11,"Pearson",1973,"251-350"
"4413","Safe Conduct: An Autobiography and Other Writings","Boris Pasternak/B. Deutsch",3.82,"9780811201353","eng",256,83,8,2009-04-14,"New Directions",2009,"251-350"
"4414","On Anarchism","Noam Chomsky/Barry Pateman",3.93,"9781904859208","eng",256,4145,192,2005-05-01,"AK Press",2005,"251-350"
"4415","Twelfth Night","William Shakespeare/Alan Durband",3.98,"9780812036046","eng",256,157,18,1996-08-01,"Barrons Educational Series",1996,"251-350"
"4416","Julius Caesar","William Shakespeare/SparkNotes",3.68,"9781586638474","eng",256,769,78,2003-07-03,"SparkNotes",2003,"251-350"
"4417","The Tenth Insight: Holding the Vision (Celestine Prophecy  #2)","James Redfield",3.64,"9780446674577","eng",256,9889,337,1998-12-01,"Grand Central Publishing",1998,"251-350"
"4418","The Odes","Pindar/Cecil Maurice Bowra/Daniel C. Snell/Dawson William Turner/Maehler/Abraham Moore",3.89,"9780140442090","eng",256,1052,23,1982-09-30,"Penguin Books",1982,"251-350"
"4419","Essence and Alchemy: A Natural History of Perfume","Mandy Aftel",4.09,"9781586857028","eng",256,459,37,2007-01-31,"Gibbs Smith",2007,"251-350"
"4420","Part-Time Wife (Hometown Heartbreakers  #4)","Susan   Mallery",3.97,"9780373240272","eng",256,574,22,1996-03-25,"Silhouette Special Edition",1996,"251-350"
"4421","The Complete Films Of Alfred Hitchcock","Robert A. Harris/Michael S. Lasky",4,"9780806524276","eng",256,18,0,2002-12-01,"Citadel",2002,"251-350"
"4422","The French Kitchen: A Cookbook","Joanne Harris/Fran Warde",4.09,"9780385607018","eng",256,35,0,2003-11-03,"Doubleday",2003,"251-350"
"4423","The Midwife's Tale","Gretchen Moran Laskas",3.83,"9780385335546","eng",256,705,99,2004-03-02,"Delta",2004,"251-350"
"4424","Strangers on a Train","Patricia Highsmith",3.78,"9780393321982","eng",256,13041,1208,2001-08-28,"W. W. Norton & Company",2001,"251-350"
"4425","Come a Stranger (Tillerman Cycle  #5)","Cynthia Voigt",3.89,"9780689804441","eng",256,1742,79,1995-11-01,"Simon Pulse",1995,"251-350"
"4426","Tears of the Giraffe (No. 1 Ladies' Detective Agency  #2)","Alexander McCall Smith",3.96,"9780613647908","eng",256,29,9,2002-09-03,"Turtleback",2002,"251-350"
"4427","The Phantom Tollbooth","Norton Juster/Jules Feiffer",4.21,"9780375806704","en-US",256,871,56,2000-05-09,"Random House Books for Young Readers",2000,"251-350"
"4428","Fantastic Four  Volume 3","Mark Waid/Mike Wieringo",3.95,"9780785120117","eng",256,118,5,2005-11-23,"Marvel Comics Group",2005,"251-350"
"4429","Ishmael (Star Trek: The Original Series  #23)","Barbara Hambly",3.93,"9780671743550","eng",256,1485,85,1991-09-01,"Pocket Books",1991,"251-350"
"4430","Five on a Treasure Island (Famous Five  #1)","Enid Blyton",4.09,"9780340796146","eng",256,19173,658,2001-06-14,"Hodder",2001,"251-350"
"4431","The Trolley Car Family","Eleanor Clymer/Ursula Koering",4.14,"9780590407328","eng",256,314,46,1987-07-01,"Scholastic",1987,"251-350"
"4432","Notes from Underground & A Confession (Everyman's Library)","A.D.P. Briggs/Leo Tolstoy/Fyodor Dostoyevsky",3.76,"9780460874489","eng",256,17,1,1994-06-15,"Everymans Library",1994,"251-350"
"4433","A Theory of Fun for Game Design","Raph Koster/Will Wright",3.94,"9781932111972","en-CA",256,2113,181,2004-11-06,"Paraglyph Press",2004,"251-350"
"4434","Beyond Good and Evil: Prelude to a Philosophy of the Future","Friedrich Nietzsche/Walter Kaufmann",4.01,"9780394703374","eng",256,50,6,1989-12-17,"Vintage",1989,"251-350"
"4435","The Artist of the Missing","Paul La Farge/Stephen Alcorn",3.58,"9780374525804","eng",256,99,10,1999-06-04,"Farrar  Strauss & Giroux-3pl",1999,"251-350"
"4436","The Death of Ivan Ilyich and Other Stories","Leo Tolstoy",4.11,"9781840224535","eng",256,320,33,2004-12-05,"Wordsworth Editions",2004,"251-350"
"4437","The Queen of Whale Cay: The Eccentric Story of 'Joe' Carstairs  Fastest Woman on Water","Kate Summerscale/Joe Carstairs",3.69,"9780140276138","eng",256,393,81,1999-06-01,"Penguin Books",1999,"251-350"
"4438","Everest: Mountain Without Mercy","Broughton Coburn/David Breashears/Tim Cahill",4.03,"9780792269847","eng",256,36,2,2003-04-01,"National Geographic",2003,"251-350"
"4439","Meeting God at Every Turn","Catherine Marshall",4.36,"9780800792985","eng",256,213,13,2002-09-01,"Chosen Books",2002,"251-350"
"4440","Getting the Girl (Wolfe Brothers  #3)","Markus Zusak",3.7,"9780439389501","eng",256,4327,385,2004-06-01,"Push",2004,"251-350"
"4441","The Lost Lunar Baedeker: Poems of Mina Loy","Mina Loy/Roger L. Conover",4.17,"9780374525071","eng",256,1469,63,1997-04-08,"Farrar  Straus and Giroux",1997,"251-350"
"4442","Winning with People Workbook","John C. Maxwell",4.22,"9780785260905","eng",256,8,1,2005-09-10,"HarperCollins Leadership",2005,"251-350"
"4443","Doctor Who: The Inside Story","Gary Russell",4.22,"9780563486497","eng",256,273,10,2006-10-26,"BBC Books",2006,"251-350"
"4444","Reptiles and Amphibians (Smithsonian Handbooks)","Mark O'Shea/Tim Halliday/Jonathan Metcalf",4,"9780789493934","eng",256,56,5,2002-10-01,"DK Publishing (Dorling Kindersley)",2002,"251-350"
"4445","A Note Slipped Under the Door: Teaching from Poems We Love","Nick Flynn/Shirley McPhillips/Philippa Stratton",4.12,"9781571103208","eng",256,57,5,2000-01-01,"Stenhouse Publishers",2000,"251-350"
"4446","My Lord Eternity (Immortal Rogues  #2)","Debbie Raleigh/Alexandra Ivy",3.73,"9780821775509","eng",256,407,14,2003-10-01,"Zebra",2003,"251-350"
"4447","The Omega Cage (Matador  #4)","Steve Perry/Michael Reaves",3.78,"9780441623822","eng",256,522,18,1988-04-01,"Ace",1988,"251-350"
"4448","The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History","Don Macmillan/Wayne G. Broehl Jr.",4.75,"9780760329634","eng",256,4,0,2007-05-15,"Voyageur Press",2007,"251-350"
"4449","Every Night Italian: Every Night Italian","Giuliano Hazan/Marcella Hazan/Dana Gallagher",3.79,"9780684800288","eng",256,70,2,2000-01-12,"Scribner",2000,"251-350"
"4450","The War of the Worlds Murder (Disaster Series  #6)","Max Allan Collins",3.71,"9780425204016","eng",256,196,38,2005-07-05,"Berkley",2005,"251-350"
"4451","The Sheik & the Princess Bride (Desert Rogues  #8)","Susan   Mallery",3.95,"9780373246472","eng",256,506,22,2004-10-25,"Silhouette Special Edition",2004,"251-350"
"4452","Doom Patrol  Vol. 4: Musclebound","Grant Morrison/Richard Case/Mike Dringenberg/Mark McKenna/Jamie Hewlett/Steve Yeowell/Rian Hughes",4.15,"9781401209995","eng",256,2322,77,2006-08-30,"Vertigo",2006,"251-350"
"4453","Final Fantasy Origins - Official Strategy Guide","Casey Loe/Laura Parkinson",3.96,"9780744002539","eng",256,25,1,2003-04-09,"Bradygames",2003,"251-350"
"4454","The Making of a Philosopher: My Journey Through Twentieth-Century Philosophy","Colin McGinn",3.65,"9780060957605","eng",256,226,31,2003-07-08,"Harper Perennial",2003,"251-350"
"4455","The Good Ghouls' Guide to Getting Even (Beth Frasier #1)","Julie Kenner",3.59,"9780425213919","eng",256,901,73,2007-04-03,"Berkley Trade",2007,"251-350"
"4456","Lost and Found","Alan Dean Foster",3.68,"9780345461278","eng",256,722,65,2005-05-31,"Del Rey Books",2005,"251-350"
"4457","The Complete World of Greek Mythology","Richard Buxton",4.24,"9780500251218","eng",256,1598,46,2004-06-28,"Thames & Hudson",2004,"251-350"
"4458","Tolkien: Man and Myth: A Literary Life","Joseph Pearce",4.05,"9780898708257","eng",256,467,31,2001-12-01,"Ignatius Press",2001,"251-350"
"4459","Poppy's Return","Avi/Brian Floca",3.99,"9780060000141","eng",256,1110,71,2006-08-22,"HarperCollins",2006,"251-350"
"4460","Field Guide to Home Buying in America","Mark LeVine/Michael Pollan/Stephen M. Pollan",2.5,"9780671639617","eng",256,4,1,1988-05-15,"Touchstone",1988,"251-350"
"4461","The Dance of the Dissident Daughter","Sue Monk Kidd",3.95,"9780060645892","eng",256,5645,603,2002-08-20,"HarperOne",2002,"251-350"
"4462","So Yesterday","Scott Westerfeld",3.58,"9781595140326","eng",256,10390,820,2005-09-08,"Razorbill",2005,"251-350"
"4463","Count Karlstein","Philip Pullman/Diana Bryan",3.5,"9780375803482","eng",256,1712,116,2000-02-22,"Yearling",2000,"251-350"
"4464","Demian","Hermann Hesse/Stanley Appelbaum",4.13,"9780486420424","mul",256,28,3,2002-06-11,"Dover Publications",2002,"251-350"
"4465","Danny The Champion Of The World","Roald Dahl/Quentin Blake",4.09,"9780224064699","eng",256,107,9,2002-11-07,"Jonathan Cape",2002,"251-350"
"4466","How the Irish Saved Civilization","Thomas Cahill",3.81,"9780340637876","en-GB",256,91,13,2003-03-03,"Sceptre",2003,"251-350"
"4467","American Dragons: Twenty-five Asian American Voices","Laurence Yep/Kam Mak/Ann Tashi Slater",3.45,"9780064406031","eng",256,66,10,1995-09-07,"HarperCollins Publishers",1995,"251-350"
"4468","Buddhism: A Concise Introduction","Huston Smith/Philip Novak",3.9,"9780060730673","eng",256,418,44,2004-12-14,"HarperOne",2004,"251-350"
"4469","The Children's Homer: The Adventures of Odysseus and the Tale of Troy","Padraic Colum/Willy Pogány",3.9,"9780689868832","eng",256,109,15,2004-07-01,"Aladdin",2004,"251-350"
"4470","Good Grief: The Story of Charles M. Schulz","Rheta Grimsley Johnson",3.72,"9780886875534","eng",256,20,1,1989-12-31,"Pharos Books",1989,"251-350"
"4471","Dancing in the Flames: The Dark Goddess in the Transformation of Consciousness","Marion Woodman/Elinor Dickson",4.24,"9781570623134","eng",256,375,24,1997-05-06,"Shambhala",1997,"251-350"
"4472","The Glass House (Captain Lacey  #3)","Ashley Gardner",4.04,"9780425199435","eng",256,1123,62,2004-12-07,"Berkley",2004,"251-350"
"4473","Glass House","Philip Johnson/Toshio Nakamura",4,"9781580931861","eng",256,14,2,2007-05-10,"The Monacelli Press",2007,"251-350"
"4474","The Works and Days/Theogony/The Shield of Herakles","Hesiod/Richmond Lattimore",3.97,"9780472081615","eng",256,90,8,1991-11-15,"University of Michigan Press",1991,"251-350"
"4475","Crimes Against Nature: How George W. Bush and His Corporate Pals Are Plundering the Country and Hijacking Our Democracy","Robert F. Kennedy Jr.",4.08,"9780060746872","eng",256,72,14,2004-08-03,"Harper",2004,"251-350"
"4476","Blue Shoes and Happiness (No. 1 Ladies' Detective Agency #7)","Alexander McCall Smith",4.06,"9781400075713","eng",256,22370,952,2007-03-13,"Anchor",2007,"251-350"
"4477","More Leaves from the Inn of the Last Home (Dragonlance: Leaves from the Inn of the Last Home  #2)","Margaret Weis/Tracy Hickman",4.01,"9780786915163","en-US",256,227,1,2000-06-01,"Wizards of the Coast",2000,"251-350"
"4478","The Mistress's Daughter","A.M. Homes",3.28,"9780670038381","en-US",256,3282,518,2007-04-05,"Viking",2007,"251-350"
"4479","The Man Who Changed Everything: The Life of James Clerk Maxwell","Basil Mahon",4.13,"9780470861714","eng",256,500,46,2004-10-15,"Wiley",2004,"251-350"
"4480","Second Foundation (Foundation #3)","Isaac Asimov",4.26,"9780553803730","eng",256,119224,1708,2004-06-01,"Bantam Spectra",2004,"251-350"
"4481","Foundation and Empire (Foundation #2)","Isaac Asimov",4.22,"9780553803723","eng",256,126226,2034,2004-06-01,"Spectra Books",2004,"251-350"
"4482","Through Painted Deserts: Light  God  and Beauty on the Open Road","Donald Miller",3.92,"9780785209829","eng",256,8931,444,2005-08-14,"Thomas Nelson",2005,"251-350"
"4483","The Wedding Night","Jayne Ann Krentz",3.45,"9781551668512","eng",256,795,23,2001-11-23,"MIRA",2001,"251-350"
"4484","Little Pilgrim's Progress","Helen L. Taylor/John Bunyan",4.26,"9780802449269","eng",256,212,20,1989-03-08,"Moody Publishers",1989,"251-350"
"4485","The Dain Curse","Dashiell Hammett",3.83,"9780752851808","eng",256,5558,268,2002-12-05,"Orion",2002,"251-350"
"4486","Where the Mountain Casts Its Shadow: The Dark Side of Extreme Adventure","Maria Coffey/Thomas Hornbein",3.88,"9780312339012","eng",256,386,49,2005-04-01,"St. Martin's Griffin",2005,"251-350"
"4487","The Last Days of Socrates","Plato/Hugh Tredennick/Harold Tarrant",4.08,"9780140449280","eng",256,1686,111,2003-03-27,"Penguin Classics",2003,"251-350"
"4488","Midnight Predator","Amelia Atwater-Rhodes",4.02,"9780440237976","eng",256,8039,177,2003-12-09,"Laurel Leaf Library",2003,"251-350"
"4489","The Rana Look","Sandra Brown",3.51,"9780553576054","eng",256,2437,96,2003-12-02,"Bantam",2003,"251-350"
"4490","Prime Time","Rachel Ryan/Sandra Brown",3.58,"9780446364294","eng",256,2005,60,1995-09-01,"Grand Central Publishing",1995,"251-350"
"4491","Fanta C (Mason Sisters  #1)","Sandra Brown",3.62,"9780553562743","eng",256,2317,63,1997-01-21,"Fanfare",1997,"251-350"
"4492","Sunny Chandler's Return","Sandra Brown",3.59,"9780553576061","eng",256,2973,138,2004-11-23,"Bantam",2004,"251-350"
"4493","Cliffs of Despair: A Journey to Suicide's Edge","Tom Hunt",3.73,"9780375507151","en-US",256,70,12,2007-12-18,"Random House",2007,"251-350"
"4494","A Woman in Jerusalem","A.B. Yehoshua/Hillel Halkin",3.43,"9780151012268","en-US",256,851,132,2006-08-14,"Houghton Mifflin Harcourt",2006,"251-350"
"4495","The Rapture: Who Will Face the Tribulation","Tim LaHaye",3.5,"9780736909525","eng",256,4,1,2002-03-01,"Harvest House Publishers",2002,"251-350"
"4496","The Secret of Shambhala: In Search of the Eleventh Insight (Celestine Prophecy  #3)","James Redfield",4,"9780446676489","eng",256,4181,131,2001-11-01,"Grand Central Publishing",2001,"251-350"
"4497","Murder at the Vicarage (Miss Marple  #1)","Agatha Christie",4.05,"9780451201157","eng",256,462,55,2000-09-01,"Signet",2000,"251-350"
"4498","Adventures of the Scarlet Pimpernel","Emmuska Orczy",4.03,"9780899664590","eng",256,15,0,1983-12-01,"Buccaneer Books",1983,"251-350"
"4499","Nietzche and Philosophy","Gilles Deleuze/Michael Hardt",4.17,"9780231138765","eng",256,50,1,2006-05-16,"Columbia University Press",2006,"251-350"
"4500","The Simpsons and Philosophy: The D'oh! of Homer","William Irwin/Aeon J. Skoble/Mark T. Conard",3.47,"9780812694338","eng",256,2039,135,2001-02-28,"Open Court",2001,"251-350"
"4501","Amnesia Moon","Jonathan Lethem",3.49,"9780156031547","eng",256,2953,230,2005-08-08,"Mariner Books",2005,"251-350"
"4502","On the Shoulders of Giants: The Great Works of Physics and Astronomy","Stephen Hawking/Isaac Newton/Nicolaus Copernicus/Albert Einstein/Johannes Kepler/Galileo Galilei",4.2,"9780762427321","eng",256,4151,33,2006-01-01,"Penguin Books",2006,"251-350"
"4503","Modern Reader's Guide to Dante's the Divine Comedy","Joseph Gallagher",4.49,"9780764804946","eng",256,29,2,1999-05-10,"Liguori Publications",1999,"251-350"
"4504","The Dream and the Underworld","James Hillman",4.22,"9780060906825","en-US",256,746,34,1979-07-25,"William Morrow Paperbacks",1979,"251-350"
"4505","From Hinton to Hamlet: Building Bridges between Young Adult Literature and the Classics","Sarah K. Herz/Donald R. Gallo",4.01,"9780313324529","en-US",256,64,9,2005-09-01,"Greenwood",2005,"251-350"
"4506","How to Win Friends and Influence People","Dale Carnegie",4.19,"9780749307844","en-US",256,210,21,1994-03-31,"Cedar Books",1994,"251-350"
"4507","The Naked Ape: A Zoologist's Study of the Human Animal","Desmond Morris",3.95,"9780385334303","eng",256,6724,325,1999-04-13,"Delta",1999,"251-350"
"4508","Practical Demonkeeping (Pine Cove  #1)","Christopher Moore",3.83,"9780060735425","eng",256,37206,1353,2004-05-25,"Perennial / William Morrow / HarperCollins",2004,"251-350"
"4509","What The Lady Wants","Jennifer Crusie",3.64,"9781551669519","eng",256,5707,243,2002-10-25,"MIRA",2002,"251-350"
"4510","Full House: The Spread of Excellence from Plato to Darwin","Stephen Jay Gould",3.96,"9780609801406","eng",256,1630,84,1997-09-16,"Three Rivers Press (CA)",1997,"251-350"
"4511","El Paso","Matt Braun",3.35,"9780312970741","eng",256,23,4,1999-07-15,"St. Martin's Paperbacks",1999,"251-350"
"4512","Dublin 4","Maeve Binchy",3.64,"9780099498582","en-US",256,2155,59,2006-05-04,"Arrow",2006,"251-350"
"4513","The Amazing Maurice and His Educated Rodents (Discworld  #28)","Terry Pratchett",4.05,"9780060012342","eng",256,29309,952,2001-11-06,"HarperCollins",2001,"251-350"
"4514","A Matter Of Trust","Deb Stover",3.31,"9780821764602","eng",256,4,0,2000-01-01,"Kensington",2000,"251-350"
"4515","The Last Story (Remember Me  #3)","Christopher Pike",3.65,"9780689854590","eng",256,2208,62,2002-09-01,"Simon Pulse",2002,"251-350"
"4516","Star Wars:  The New Essential Chronology","Daniel  Wallace/Mark Chiarello/Tommy Lee Edwards/John Van Fleet",4.3,"9780345449016","eng",256,642,11,2005-10-25,"Del Rey",2005,"251-350"
"4517","Warrior (MacKenzie-Blackthorn #5)","Elizabeth Lowell",3.91,"9781551669045","eng",256,865,28,2002-04-24,"MIRA",2002,"251-350"
"4518","Media Unlimited: How the Torrent of Images & Sounds Overwhelms Our Lives","Todd Gitlin",3.55,"9780805072839","en-US",256,112,11,2003-01-06,"Picador",2003,"251-350"
"4519","Suddenly Daddy (Suddenly #1)","Loree Lough",3.78,"9780373870288","eng",256,37,1,1998-04-24,"Love Inspired",1998,"251-350"
"4520","In the Land of the Lawn Weenies and Other Warped and Creepy Tales (Weenies series  #1)","David Lubar",3.96,"9780765345707","en-US",256,720,69,2003-06-16,"Starscape",2003,"251-350"
"4521","Dale Loves Sophie to Death","Robb Forman Dew",3.23,"9780316890663","en-US",256,244,23,2001-09-19,"Back Bay Books",2001,"251-350"
"4522","The Wit &  Wisdom of Winston Churchill","James C. Humes/Richard M. Nixon",3.98,"9780060925772","eng",256,181,15,2007-12-26,"Harper Perennial",2007,"251-350"
"4523","The Last Shogun: The Life of Tokugawa Yoshinobu","Ryōtarō Shiba/Juliet Winters Carpenter",3.76,"9781568363561","eng",256,296,29,2004-08-20,"Kodansha America",2004,"251-350"
"4524","Lovingkindness: The Revolutionary Art of Happiness","Sharon Salzberg/Jon Kabat-Zinn",4.24,"9781590301876","eng",256,4373,144,2004-12-28,"Shambhala",2004,"251-350"
"4525","Small Bites  Big Nights: Seductive Little Plates for Intimate Occasions and Lavish Parties","Govind Armstrong/Lisa Romerein/Tyler Florence",3.6,"9780307337931","eng",256,20,3,2007-04-10,"Clarkson Potter",2007,"251-350"
"4526","Dirty Little Secrets","Joy King",4.15,"9780312354077","eng",256,304,31,2006-05-30,"St. Martin's Griffin",2006,"251-350"
"4527","Hannibal Crosses the Alps: The Invasion of Italy & the Second Punic War","John Prevas",3.83,"9780306810701","en-US",256,91,11,2001-09-17,"Da Capo Press",2001,"251-350"
"4528","Dirty Jokes and Beer: Stories of the Unrefined","Drew Carey",3.53,"9780786885596","eng",256,1944,93,2000-03-15,"Hachette Books",2000,"251-350"
"4529","From a Limestone Ledge: Some Essays and Other Ruminations about Country Life in Texas","John Graves/Glenn Wolff/Bill Wittliff",4.31,"9780870744853","eng",256,67,7,2004-05-19,"Southern Methodist University Press",2004,"251-350"
"4530","Beauty: A Retelling of the Story of Beauty and the Beast","Robin McKinley",4.05,"9780064404778","eng",256,63876,3744,1993-06-30,"HarperCollins",1993,"251-350"
"4531","Imaginary Lands","Robin McKinley/James P. Blaylock/Patricia A. McKillip/Robert Westall/Peter Dickinson/Jane Yolen/P.C. Hodgell/Michael de Larrabetti/Joan D. Vinge",3.59,"9780862032807","eng",256,463,19,1987-03-26,"Julia MacRae",1987,"251-350"
"4532","Beauty","Robin McKinley",4.05,"9780862031435","eng",256,3,0,1983-09-29,"Julia MacRae",1983,"251-350"
"4533","Hitty  Her First Hundred Years","Rachel Field/Dorothy P. Lathrop",3.86,"9780689822841","eng",256,7097,292,1998-09-01,"Aladdin",1998,"251-350"
"4534","Silent Night: The Remarkable Christmas Truce of 1914","Stanley Weintraub",3.6,"9780684866222","eng",256,4041,179,2001-10-30,"Pocket Books",2001,"251-350"
"4535","How to Develop Self-Confidence and Influence People by Public Speaking","Dale Carnegie",4.14,"9780749305796","eng",256,68,1,1990-03-29,"Vermilion",1990,"251-350"
"4536","Shakespeare's Secret","Elise Broach",3.88,"9780805073874","eng",256,7373,645,2005-05-01,"Henry Holt & Company",2005,"251-350"
"4537","Reduced Shakespeare: The Attention-impaired Readers Guide to the World's Best Playwright","Reed Martin/Austin Tichenor",4.13,"9781401302207","en-US",256,281,53,2006-07-11,"Hachette Books",2006,"251-350"
"4538","Kissing the Beehive (Crane's View  #1)","Jonathan Carroll",3.7,"9780575402911","eng",256,808,40,2000-08-10,"Orion",2000,"251-350"
"4539","Right Stuff  Wrong Sex: America's First Women in Space Program","Margaret A. Weitekamp",3.82,"9780801883941","eng",256,36,9,2005-10-26,"Johns Hopkins University Press",2005,"251-350"
"4540","The Right Stuff (To Protect and Defend #3)","Merline Lovelace",3.61,"9780373273492","eng",256,40,3,2004-02-23,"Silhouette Books",2004,"251-350"
"4541","As You Like It (No Fear Shakespeare)","William Shakespeare/SparkNotes/John Crowther",3.83,"9781411401044","eng",256,265,36,2004-06-22,"SparkNotes",2004,"251-350"
"4542","Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life","Joanna Weaver",4.18,"9781578562589","eng",256,14711,442,2000-07-18,"Waterbrook Press",2000,"251-350"
"4543","All Quiet on the Western Front","Erich Maria Remarque",3.97,"9780449231807","en-GB",256,64,4,1987-03-12,"Fawcett Crest",1987,"251-350"
"4544","Anthem","Ayn Rand",3.63,"9780452286351","eng",256,470,67,2004-12-28,"NAL",2004,"251-350"
"4545","All Through the Night","Mary Higgins Clark",3.7,"9780671027124","en-US",256,6332,224,1999-10-01,"Pocket Books",1999,"251-350"
"4546","The People of Paper","Salvador Plascencia",4.09,"9780156032117","eng",256,4154,458,2006-11-13,"Mariner Books",2006,"251-350"
"4547","Rash","Pete Hautman",3.75,"9780689868016","eng",256,2994,459,2006-06-01,"Simon  Schuster Books for Young Readers",2006,"251-350"
"4548","Reading in the Dark","Seamus Deane",3.73,"9780375700231","en-US",256,3237,227,1998-02-24,"Vintage",1998,"251-350"
"4549","Not Much Fun: The Lost Poems of Dorothy Parker","Dorothy Parker/Stuart Y. Silverstein",4.18,"9780743211482","eng",256,444,27,2001-07-10,"Scribner",2001,"251-350"
"4550","Poems Between Women: Four Centuries of Love  Romantic Friendship  and Desire","Emma Donoghue",3.88,"9780231109253","en-US",256,68,4,1999-03-19,"Columbia University Press",1999,"251-350"
"4551","What Sappho Would Have Said","Emma Donoghue",3.62,"9780241136829","eng",256,24,3,1997-04-24,"Hamish Hamilton Ltd",1997,"251-350"
"4552","Such a Good Girl and Other Crime Stories","Ed Gorman/Richard Laymon",3.6,"9780786229987","eng",256,5,1,2001-01-07,"Five Star (ME)",2001,"251-350"
"4553","I Never Promised You a Rose Garden","Hannah  Green/Joanne Greenberg",3.87,"9780451131362","eng",256,2,0,1965-03-01,"Signet",1965,"251-350"
"4554","The Psychology of Everyday Things","Donald A. Norman",4.17,"9780465067091","eng",257,265,31,1988-06-13,"Basic Books",1988,"251-350"
"4555","Baby Signing For Dummies","Jennifer Watson",3.64,"9780471773863","eng",257,37,9,2006-10-01,"John Wiley & Sons",2006,"251-350"
"4556","Shroud (The Cleave Trilogy #2)","John Banville",3.66,"9780375725302","eng",257,974,81,2004-06-08,"Vintage",2004,"251-350"
"4557","Truth and Beauty","Ann Patchett",3.94,"9780060572150","eng",257,31134,2662,2005-04-05,"Harper Perennial",2005,"251-350"
"4558","Autobiography of a Fat Bride: True Tales of a Pretend Adulthood","Laurie Notaro",3.98,"9780375760921","en-US",257,8009,455,2003-07-08,"Villard",2003,"251-350"
"4559","The Raphael Affair (Jonathan Argyll  #1)","Iain Pears",3.54,"9780425178928","eng",257,102,10,2001-02-01,"Berkley Books",2001,"251-350"
"4560","Strange Candy (Anita Blake  Vampire Hunter #0.5)","Laurell K. Hamilton",3.76,"9780425212011","en-US",257,15360,314,2006-10-03,"Berkley Publishing Group",2006,"251-350"
"4561","Philosophy: The Classics","Nigel Warburton",3.89,"9780415356299","eng",257,337,26,1998-07-09,"Routledge",1998,"251-350"
